Instance75	data/Instance75/R_40_75_1.txt	77	75	1	0.83	39.89	1.14	39.52	39.06	38.38	253759
Instance75	data/Instance75/R_40_75_2.txt	77	75	1	0.40	39.52	1.27	39.94	39.12	38.67	253772
Instance75	data/Instance75/R_40_75_3.txt	77	75	1	1.09	39.15	0.13	39.84	38.06	39.71	253769
Instance75	data/Instance75/R_40_75_4.txt	77	75	1	0.08	39.32	0.37	39.18	39.24	38.81	253765
Instance75	data/Instance75/R_40_75_5.txt	77	75	1	1.19	39.22	1.48	39.43	38.03	37.95	253759
Instance75	data/Instance75/R_50_75_1.txt	77	75	1	0.04	49.50	0.58	49.78	49.46	49.20	253771
Instance75	data/Instance75/R_50_75_2.txt	77	75	1	0.83	48.63	0.97	49.93	47.80	48.96	253764
Instance75	data/Instance75/R_50_75_3.txt	77	75	1	0.01	49.45	0.26	48.57	49.44	48.31	253769
Instance75	data/Instance75/R_50_75_4.txt	77	75	1	0.11	49.94	1.01	48.55	49.83	47.54	253769
Instance75	data/Instance75/R_50_75_5.txt	77	75	1	0.79	49.96	0.08	49.62	49.17	49.54	253775
Instance100	data/Instance100/R_30_100_1.txt	102	100	1	0.77	29.05	0.32	29.64	28.28	29.32	448216
Instance100	data/Instance100/R_30_100_2.txt	102	100	1	0.23	29.76	0.10	29.78	29.53	29.68	448211
Instance100	data/Instance100/R_30_100_3.txt	102	100	1	1.29	29.80	0.02	29.85	28.51	29.83	448206
Instance100	data/Instance100/R_30_100_4.txt	102	100	1	0.65	29.55	0.19	29.83	28.90	29.64	448214
Instance100	data/Instance100/R_30_100_5.txt	102	100	1	0.12	29.83	0.30	29.24	29.71	28.94	448207
Instance100	data/Instance100/R_40_100_1.txt	102	100	1	0.06	39.10	0.09	39.64	39.04	39.55	448234
Instance100	data/Instance100/R_40_100_2.txt	102	100	1	0.33	39.52	0.34	39.76	39.19	39.42	448237
Instance100	data/Instance100/R_40_100_3.txt	102	100	1	0.55	39.19	1.12	39.84	38.64	38.72	448225
Instance100	data/Instance100/R_40_100_4.txt	102	100	1	0.15	39.99	0.45	39.33	39.84	38.88	448229
Instance100	data/Instance100/R_40_100_5.txt	102	100	1	0.27	39.81	0.75	39.89	39.54	39.14	448229
Instance100	data/Instance100/R_50_100_1.txt	102	100	1	0.12	49.86	2.95	49.80	49.74	46.85	448238
Instance100	data/Instance100/R_50_100_2.txt	102	100	1	0.05	48.58	0.41	49.68	48.53	49.27	448233
Instance100	data/Instance100/R_50_100_3.txt	102	100	1	0.40	49.60	0.11	49.78	49.20	49.67	448242
Instance100	data/Instance100/R_50_100_4.txt	102	100	1	0.45	49.53	0.04	49.91	49.08	49.87	448234
Instance100	data/Instance100/R_50_100_5.txt	102	100	1	0.19	49.37	0.04	49.64	49.18	49.60	448231
WenchuanCase	data/WenchuanCase/wenchuan_15.txt	17	15	1	-56.49	112.03	0.00	213.12	168.52	213.12	12451
